route_station_id,station_seq,is_start,is_end,route_id,station_id
832,73,0,0,100100010,110000001
833,74,0,0,100100010,110000061
834,75,0,0,100100010,110000059
835,76,0,0,100100010,110000316
836,77,0,0,100100010,110000315
837,78,0,0,100100010,110000273
838,79,0,0,100100010,110000272
839,80,0,0,100100010,110000157
840,81,0,0,100100010,110000156
841,82,0,0,100100010,110000155
842,83,0,0,100100010,110000085
843,84,0,0,100100010,110000083
844,85,0,0,100100010,110000088
845,86,0,1,100100010,110000694
846,1,1,0,100100011,207000023
847,2,0,0,100100011,207000022
848,3,0,0,100100011,207000021
849,4,0,0,100100011,207000034
850,5,0,0,100100011,207000033
851,6,0,0,100100011,207000439
852,7,0,0,100100011,207000154
853,8,0,0,100100011,207000019
854,9,0,0,100100011,207000527
855,10,0,0,100100011,207000069
856,11,0,0,100100011,207000068
857,12,0,0,100100011,207000067
858,13,0,0,100100011,207000066
859,14,0,0,100100011,207000065
860,15,0,0,100100011,207000418
861,16,0,0,100100011,207000064
862,17,0,0,100100011,207000063
863,18,0,0,100100011,207000062
864,19,0,0,100100011,207000061
